0         0         1         23        2         -1        -1                                                                                                                                                                                                 
0         1         1         36        10        -1        -1                                                                                                                                                                                                 
1         2         2         27        35        13        0         0         10        1                                                                                                                                                                    
0         3         1         115       18        -1        -1                                                                                                                                                                                                 
0         4         1         139       19        3         -1                                                                                                                                                                                                 
1         5         2         117       122       39        16        3         28        11                                                                                                                                                                   
1         6         1         43        11        2         9                                                                                                                                                                                                  
0         7         1         84        33        3         4                                                                                                                                                                                                  
0         8         2         44        48        24        35        7         4         12                                                                                                                                                                   
1         9         2         53        65        26        1         8         20        12                                                                                                                                                                   
0         10        1         31        9         7         7                                                                                                                                                                                                  
0         11        2         129       133       6         27        5         7         12                                                                                                                                                                   
0         12        2         66        68        14        28        5         7         12                                                                                                                                                                   
0         13        1         167       30        5         7                                                                                                                                                                                                  
1         14        2         143       154       23        29        4         17        23                                                                                                                                                                   
1         15        2         138       159       4         7         5         14        22                                                                                                                                                                   
1         16        2         74        109       8         3         6         27        15                                                                                                                                                                   
0         17        2         145       152       22        38        7         14        23                                                                                                                                                                   
0         18        1         98        34        7         14                                                                                                                                                                                                 
1         19        1         86        20        7         25                                                                                                                                                                                                 
0         20        1         60        17        7         18                                                                                                                                                                                                 
0         21        1         171       21        7         18                                                                                                                                                                                                 
1         22        1         170       12        13        21                                                                                                                                                                                                 
0         23        2         156       158       31        36        13        21        23                                                                                                                                                                   
0         24        1         103       32        19        21                                                                                                                                                                                                 
0         25        1         92        37        19        21                                                                                                                                                                                                 
1         26        1         99        5         18        24                                                                                                                                                                                                 
1         27        1         96        25        19        26                                                                                                                                                                                                 
0         28        1         120       15        4         26                                                                                                                                                                                                 
